time,000001.OF,000011.OF,000021.OF,000020.OF,000039.OF,000017.OF,000029.OF,000030.OF,000126.OF,000057.OF,000066.OF,000083.OF,000073.OF,000082.OF,000117.OF,000136.OF,000120.OF,000056.OF,000173.OF,000127.OF,000264.OF,000209.OF,000172.OF,000242.OF,000220.OF,000251.OF,000167.OF,000263.OF,000294.OF,000199.OF
20190816,6.19284802,23.83683024,3.27105687,2.2578905,1.7557,2.54901676,2.17473324,2.02179927,1.61550122,1.403,1.58226112,4.257,1.23,2.16974363,1.739,2.8545979,1.33305802,1.957,2.41164878,2.3723,0.86342506,1.195,2.5056681,1.89799166,2.389,3.42783161,1.780125,1.9601921,2.68778085,1.2848
20190819,6.33567201,24.34930998,3.37186302,2.31556192,1.8088,2.6179091,2.20018225,2.06049134,1.64063423,1.431,1.60173771,4.297,1.243,2.21848001,1.765,2.90702929,1.34650236,1.987,2.44131757,2.4382,0.87303809,1.244,2.56869176,1.93746736,2.418,3.48896672,1.801275,2.02243906,2.72848612,1.3034
20190820,6.32995905,24.3381286,3.36774849,2.3122975,1.8031,2.61274218,2.19439838,2.05567797,1.637543,1.425,1.59665686,4.299,1.236,2.21263164,1.76,2.91984585,1.34339982,1.989,2.44767517,2.439,0.86866853,1.235,2.57251138,1.93746736,2.433,3.47901449,1.80715,2.01186882,2.70875023,1.3011
20190821,6.33567201,24.18904359,3.37186302,2.31338564,1.8064,2.61274218,2.20365257,2.05345641,1.63149495,1.42,1.59933842,4.299,1.238,2.21263164,1.754,2.94081841,1.34133146,1.986,2.44873477,2.4905,0.86954244,1.24,2.5782408,1.93746736,2.42,3.46479702,1.810675,2.01891565,2.69394832,1.3037
20190822,6.32995905,24.17786221,3.36157668,2.3068568,1.8069,2.62479834,2.19671193,2.05216051,1.64856389,1.422,1.59933842,4.341,1.237,2.21653055,1.766,2.93615784,1.34339982,1.997,2.46144996,2.4893,0.87129026,1.241,2.58206042,1.94220444,2.425,3.46621877,1.834175,2.01774118,2.70628325,1.3107
20190823,6.32424609,24.29526666,3.36157668,2.31665006,1.8162,2.66785605,2.19092806,2.06548983,1.66375122,1.43,1.61683912,4.392,1.255,2.23212619,1.796,2.97227724,1.3599467,2.014,2.49111875,2.5034,0.87828156,1.241,2.6011585,1.94062541,2.478,3.4974972,1.8565,2.03770719,2.70628325,1.3183
20190826,6.24426466,24.01573226,3.32454585,2.30468052,1.7988,2.64202142,2.1851442,2.04253377,1.64412866,1.421,1.62573061,4.358,1.25,2.21068219,1.783,2.96528639,1.34857072,1.995,2.46039036,2.4712,0.873912,1.232,2.56487214,1.92957222,2.479,3.43778383,1.83535,2.03183483,2.69888229,1.3029
20190827,6.34709793,24.3232201,3.36980575,2.33514844,1.8287,2.66441144,2.2105932,2.06697087,1.6621384,1.44,1.63349302,4.429,1.263,2.23797456,1.804,2.97926809,1.35891252,2.021,2.48476116,2.5149,0.88352503,1.248,2.58778984,1.95325764,2.51,3.45342305,1.86825,2.05297531,2.75192248,1.3126
20190828,6.31853313,24.30644804,3.35746214,2.3286196,1.8248,2.66096682,2.20365257,2.05919543,1.65474634,1.441,1.63208167,4.432,1.258,2.22822728,1.798,2.97926809,1.35684416,2.018,2.46250956,2.5213,0.88002938,1.242,2.5782408,1.94378347,2.51,3.42925335,1.860025,2.0412306,2.77659234,1.3105
20190829,6.31853313,24.38658123,3.36569122,2.33297216,1.8391,2.66957836,2.22216093,2.04734714,1.66106319,1.436,1.62982352,4.434,1.267,2.22627783,1.8,2.99558008,1.35270744,2.025,2.46992676,2.5186,0.87828156,1.247,2.5782408,1.93746736,2.5,3.39655318,1.8706,2.04592848,2.76179042,1.3079
20190830,6.27854241,24.56548325,3.34511853,2.32100262,1.829,2.66096682,2.20943643,2.0445702,1.661332,1.436,1.63518663,4.487,1.267,2.22822728,1.806,2.98159838,1.35374162,2.044,2.47522476,2.503,0.88177721,1.237,2.57442118,1.91220291,2.509,3.40508366,1.8941,2.02243906,2.748222,1.314
20190902,6.36423681,24.76674802,3.43152381,2.3830266,1.8854,2.69196837,2.24760994,2.07196936,1.68404578,1.447,1.64746535,4.52,1.296,2.2535702,1.826,3.01771778,1.36615178,2.061,2.49535715,2.5687,0.89663371,1.284,2.61834677,1.95009958,2.536,3.43494034,1.91995,2.07176684,2.76302392,1.3255
20190903,6.40994048,24.67170632,3.46855464,2.40261312,1.9067,2.6971353,2.26843185,2.07252475,1.69439467,1.446,1.64280791,4.511,1.311,2.26136802,1.824,3.04801147,1.3651176,2.057,2.48158236,2.5871,0.9027511,1.3,2.625986,1.95483666,2.526,3.43351859,1.9129,2.10230309,2.76055693,1.3261
20190904,6.43850528,24.83197271,3.48912733,2.41240638,1.9084,2.69885761,2.28578345,2.10362651,1.69130344,1.451,1.64365472,4.494,1.304,2.2711153,1.823,3.02820406,1.3702885,2.057,2.48582076,2.5847,0.90624674,1.306,2.64508408,1.95641569,2.507,3.48327973,1.9035,2.10347756,2.76055693,1.3345
20190905,6.47849599,25.13946055,3.52821543,2.42546406,1.9299,2.72469224,2.29619441,2.10881013,1.71173241,1.462,1.63899727,4.506,1.305,2.28476148,1.824,3.03053434,1.3754594,2.062,2.50807235,2.5967,0.90799457,1.326,2.66609197,1.98010111,2.496,3.52735389,1.907025,2.12344357,2.77782583,1.3409
20190906,6.50134783,25.18977675,3.54673084,2.43852174,1.9329,2.73847071,2.29966472,2.1154748,1.71872127,1.467,1.63433983,4.5,1.307,2.2925593,1.831,3.03286463,1.38269866,2.067,2.51019155,2.5842,0.91323804,1.333,2.67755082,1.97694306,2.509,3.55721057,1.916425,2.12109463,2.76919138,1.3438
20190909,6.6041811,25.29040913,3.63930792,2.48857618,1.9737,2.7763615,2.3563466,2.12917438,1.74869271,1.475,1.64224337,4.499,1.33,2.31205386,1.845,3.07947031,1.38890374,2.072,2.52396634,2.6101,0.92809454,1.365,2.70428813,2.00694459,2.531,3.56005406,1.91995,2.166899,2.77412535,1.3545
20190910,6.56990334,25.13946055,3.6084489,2.4755185,1.956,2.76430534,2.32974082,2.11843687,1.74398867,1.469,1.64647741,4.481,1.318,2.30425603,1.84,3.05733261,1.38269866,2.063,2.52396634,2.5908,0.92372498,1.351,2.69282928,2.00062848,2.549,3.54157135,1.904675,2.15632876,2.77412535,1.35
20190911,6.53562559,25.03696461,3.57347533,2.4591964,1.9323,2.72124762,2.313546,2.11269785,1.70743157,1.458,1.62657742,4.361,1.293,2.28476148,1.806,3.02820406,1.37856194,2.026,2.49217835,2.5541,0.91323804,1.338,2.67182139,1.97694306,2.493,3.55436708,1.84945,2.13166487,2.72478564,1.3403
20190912,6.56419039,25.21959375,3.59404802,2.45484384,1.9444,2.74708225,2.31817309,2.14065241,1.70568436,1.473,1.63532777,4.421,1.293,2.30425603,1.827,3.02703892,1.38373284,2.046,2.52184714,2.5846,0.91498586,1.341,2.69473909,1.96746889,2.496,3.59844123,1.88,2.13518828,2.74328803,1.3491
20190916,6.55847743,25.03323748,3.60639163,2.45484384,1.9547,2.75913841,2.31817309,2.13102567,1.70729717,1.469,1.6419611,4.413,1.297,2.29840767,1.828,3.05034176,1.3858012,2.039,2.50701275,2.5858,0.91411195,1.343,2.68709986,1.98010111,2.516,3.56005406,1.876475,2.15397981,2.74205454,1.3459
20190917,6.46707007,24.70711401,3.54467357,2.42981662,1.9117,2.73158147,2.27190217,2.10584806,1.69385706,1.451,1.63264621,4.389,1.289,2.26721639,1.811,3.03752519,1.36925432,2.026,2.47098636,2.5385,0.89488589,1.317,2.64317427,1.95957375,2.495,3.51029292,1.869425,2.11874568,2.71121722,1.3286
20190918,6.48420895,24.84688121,3.55290265,2.43852174,1.9152,2.76086072,2.27421572,2.12269485,1.72046848,1.46,1.64421926,4.479,1.304,2.28281203,1.842,3.07014917,1.37959612,2.051,2.49111875,2.558,0.89750762,1.321,2.66036254,1.96115278,2.53,3.52024515,1.918775,2.12579251,2.7321866,1.3353
20190919,6.52419967,24.9475136,3.59199075,2.4537557,1.9347,2.77463919,2.29619441,2.12658257,1.73431179,1.468,1.64294904,4.474,1.319,2.29060985,1.85,3.08413087,1.38890374,2.053,2.49429755,2.5692,0.90974239,1.341,2.66418216,1.98641722,2.561,3.52451039,1.91525,2.15632876,2.75685645,1.3374
20190920,6.52991263,25.01460185,3.6146207,2.46681338,1.9466,2.79875151,2.31932987,2.1249164,1.73941904,1.469,1.64534833,4.513,1.331,2.29645821,1.864,3.09694744,1.39200628,2.057,2.50913195,2.5773,0.91935542,1.344,2.67564101,1.98957528,2.576,3.52451039,1.928175,2.16455005,2.76302392,1.3413
20190923,6.48420895,24.7276132,3.6084489,2.45810826,1.9358,2.79875151,2.30891891,2.09196335,1.7345806,1.453,1.62968238,4.482,1.338,2.27306475,1.851,3.12025028,1.38166448,2.04,2.47310556,2.5645,0.92285107,1.338,2.64508408,1.96746889,2.562,3.48754497,1.911725,2.16220111,2.73465358,1.3305
20190924,6.50706079,24.88787959,3.63930792,2.4700778,1.9563,2.82286383,2.313546,2.09677672,1.75608477,1.467,1.6488767,4.525,1.35,2.28281203,1.875,3.12258056,1.38683538,2.053,2.48528615,2.5917,0.92809454,1.348,2.65272331,1.98641722,2.618,3.48470148,1.949325,2.17512029,2.74452152,1.3333
20190925,6.43850528,24.79842858,3.58581894,2.42981662,1.928,2.79013996,2.27305895,2.08307713,1.73041416,1.455,1.64407812,4.499,1.331,2.2711153,1.862,3.09694744,1.3754594,2.046,2.48305118,2.5436,0.91411195,1.322,2.62980562,1.95167861,2.603,3.49607545,1.9411,2.1422351,2.75068899,1.321
20190926,6.34138497,24.68102413,3.49941367,2.40152498,1.8832,2.76086072,2.22216093,2.06697087,1.69708269,1.441,1.63067032,4.471,1.317,2.24382292,1.848,3.06781889,1.36304924,2.035,2.4741113,2.5052,0.89139024,1.291,2.59924869,1.89167554,2.56,3.52859709,1.92465,2.09525626,2.70628325,1.3094
20190927,6.35852385,24.64934357,3.54467357,2.41893522,1.9035,2.80047382,2.23719898,2.06993294,1.70662517,1.452,1.63109373,4.485,1.325,2.2535702,1.852,3.11092914,1.37235686,2.037,2.47634627,2.5271,0.89838154,1.302,2.61070754,1.91851902,2.581,3.53347534,1.925825,2.12814145,2.73342009,1.3164
20190930,6.28996833,24.55989256,3.48707006,2.38737916,1.8774,2.76086072,2.21869061,2.05845491,1.67974495,1.45,1.61585118,4.426,1.307,2.23212619,1.84,3.07714002,1.36718596,2.026,2.46070149,2.4912,0.89051633,1.279,2.58206042,1.89167554,2.583,3.48957114,1.911725,2.09408179,2.74082105,1.3035
20191008,6.28425537,24.63629863,3.4582683,2.3721452,1.8628,2.74363763,2.21869061,2.09548081,1.67907294,1.452,1.6281299,4.449,1.311,2.24577238,1.86,3.04801147,1.36718596,2.045,2.48081621,2.489,0.88002938,1.272,2.60688792,1.88693846,2.582,3.53835358,1.927,2.0776392,2.76179042,1.308
20191009,6.30710721,24.5077128,3.46649737,2.39173172,1.8657,2.74191532,2.23372866,2.12158407,1.67961055,1.451,1.62940011,4.433,1.311,2.25551965,1.855,3.05383718,1.37132268,2.038,2.48528615,2.5087,0.8809033,1.286,2.625986,1.89325457,2.581,3.5725013,1.9082,2.0776392,2.76055693,1.312
20191010,6.38137568,24.82079133,3.5364445,2.43634546,1.9113,2.81080767,2.26496153,2.13769034,1.73726862,1.475,1.63730365,4.489,1.352,2.27696366,1.886,3.11791999,1.39304046,2.055,2.52216315,2.5355,0.89663371,1.31,2.6489037,1.93588833,2.714,3.57575346,1.9411,2.11874568,2.83579999,1.3233
20191011,6.39851456,25.0071476,3.55084538,2.4374336,1.9229,2.83491999,2.27421572,2.15398173,1.74936472,1.483,1.65861499,4.522,1.35,2.29645821,1.887,3.13423198,1.40027972,2.066,2.54563033,2.5554,0.8957598,1.308,2.67946062,1.9343093,2.731,3.62941415,1.94815,2.13401381,2.84936841,1.3356
20191014,6.43850528,25.07050873,3.60021982,2.46028454,1.9388,2.85903231,2.30429182,2.170088,1.7711377,1.497,1.67456322,4.531,1.355,2.31205386,1.891,3.15403939,1.41579242,2.071,2.56015763,2.5917,0.90886848,1.325,2.70619794,1.95167861,2.728,3.66518795,1.939925,2.15632876,2.86046985,1.3448
20191015,6.38137568,24.90278809,3.56113172,2.4319929,1.9169,2.83491999,2.27537249,2.16009101,1.74277906,1.49,1.67569229,4.549,1.347,2.30230658,1.897,3.13423198,1.41475824,2.079,2.55792266,2.5658,0.89925545,1.303,2.69091947,1.92009805,2.714,3.64567497,1.958725,2.12814145,2.85553588,1.3399
20191016,6.35852385,24.85619903,3.54878811,2.44505058,1.9093,2.83319768,2.27190217,2.16620028,1.74183826,1.484,1.66905896,4.536,1.354,2.30035712,1.904,3.12607599,1.4116557,2.072,2.54898278,2.5381,0.89838154,1.302,2.67564101,1.9058868,2.754,3.64079672,1.946975,2.12109463,2.84690143,1.3369
20191017,6.3928016,24.93819578,3.56524626,2.45157942,1.9228,2.85214307,2.27537249,2.15805458,1.74600469,1.486,1.67159939,4.562,1.364,2.30230658,1.908,3.15287425,1.41992914,2.074,2.55904015,2.559,0.89925545,1.303,2.6737312,1.90904485,2.785,3.63754456,1.954025,2.12579251,2.86293684,1.3357
20191018,6.32424609,24.64002575,3.52615816,2.4265522,1.9048,2.81425229,2.26496153,2.12287998,1.7222157,1.476,1.64704195,4.513,1.357,2.27306475,1.888,3.11791999,1.4064848,2.057,2.54674781,2.5271,0.89051633,1.294,2.62980562,1.87588526,2.774,3.58550995,1.93405,2.09877968,2.85060191,1.3189
20191021,6.32424609,24.55989256,3.51381455,2.43634546,1.8842,2.7970292,2.26727508,2.15009401,1.70810358,1.473,1.64986464,4.506,1.351,2.27306475,1.876,3.109764,1.4064848,2.054,2.54451284,2.5185,0.88789459,1.288,2.63362523,1.86325304,2.693,3.61315334,1.9176,2.09173285,2.85923636,1.3218
20191022,6.36423681,24.6977962,3.55290265,2.4591964,1.9078,2.82458614,2.27305895,2.15416686,1.73175817,1.477,1.65071145,4.535,1.361,2.29060985,1.896,3.13306684,1.4116557,2.065,2.54563033,2.5436,0.89838154,1.302,2.65272331,1.8948336,2.732,3.60990117,1.92935,2.11992016,2.88760669,1.328
20191023,6.28996833,24.47975936,3.51587182,2.44940314,1.8865,2.80391843,2.25223703,2.13602417,1.71334522,1.471,1.63998521,4.48,1.353,2.27501421,1.869,3.10626857,1.40751898,2.052,2.51881069,2.5274,0.88527286,1.29,2.63935466,1.88851749,2.681,3.59038819,1.91055,2.10934992,2.86170334,1.3205
20191024,6.26711649,24.25799541,3.51381455,2.44178616,1.8805,2.79186227,2.24645317,2.13472826,1.70608756,1.461,1.64224337,4.444,1.355,2.27501421,1.861,3.08413087,1.40027972,2.037,2.50428339,2.5211,0.87740765,1.289,2.63553504,1.88062235,2.67,3.61315334,1.899975,2.11052439,2.85306889,1.3139
20191025,6.30139425,24.37167273,3.55290265,2.47878292,1.8971,2.83319768,2.25686412,2.14731707,1.74331667,1.475,1.64718308,4.502,1.376,2.2925593,1.873,3.10393829,1.40855316,2.052,2.52104566,2.5582,0.88002938,1.301,2.6508135,1.8948336,2.681,3.61152726,1.91995,2.13283934,2.89500765,1.3169
20191028,6.36423681,24.55243831,3.59610529,2.49075246,1.9401,2.8969231,2.27884281,2.14694681,1.76710566,1.488,1.65423982,4.557,1.389,2.31400331,1.899,3.1458834,1.41992914,2.064,2.56015763,2.5929,0.87915547,1.331,2.66800178,1.92009805,2.729,3.60664901,1.94345,2.16924794,2.93077894,1.3242
20191029,6.33567201,24.37167273,3.57347533,2.48204734,1.9252,2.87108847,2.28115636,2.13213645,1.7469455,1.491,1.65113486,4.581,1.394,2.30620549,1.901,3.1319017,1.42820258,2.078,2.56351009,2.5819,0.87828156,1.311,2.6508135,1.90114971,2.746,3.58713603,1.954025,2.14810746,2.92707846,1.3139
20191030,6.29568129,24.23190553,3.58170441,2.48748804,1.9163,2.88658925,2.27999958,2.1199179,1.74452628,1.488,1.63970294,4.585,1.399,2.30230658,1.884,3.13423198,1.44474946,2.078,2.55680518,2.5857,0.87828156,1.308,2.64126446,1.89799166,2.75,3.56762305,1.956375,2.13283934,2.93571291,1.3085
20191031,6.27282945,24.24122334,3.56318899,2.48531176,1.9026,2.87281078,2.26611831,2.10399677,1.73337099,1.494,1.63942068,4.604,1.391,2.2925593,1.889,3.12258056,1.44371528,2.084,2.56574505,2.566,0.87828156,1.304,2.62025658,1.88693846,2.77,3.56437089,1.961075,2.10934992,2.9196775,1.3027
20191101,6.34138497,24.76488445,3.62079251,2.5136034,1.9281,2.91586849,2.28694022,2.12584205,1.75500956,1.514,1.66355471,4.685,1.406,2.32570004,1.924,3.14821368,1.45612544,2.12,2.62497175,2.5922,0.88265112,1.319,2.65463312,1.90746582,2.803,3.63266632,2.0069,2.12931592,2.93941339,1.3165
20191104,6.37566272,25.19536743,3.66399515,2.54733574,1.954,2.95892621,2.30313504,2.13158106,1.78309939,1.525,1.67569229,4.723,1.427,2.34324514,1.948,3.19248908,1.47060396,2.138,2.65179138,2.6271,0.88002938,1.329,2.67755082,1.93746736,2.846,3.64567497,2.021,2.15163087,2.98135215,1.3257
20191105,6.4213664,25.35563382,3.71542686,2.56909854,1.9666,2.9761493,2.31007568,2.14953862,1.79748031,1.536,1.68585399,4.75,1.437,2.35689132,1.957,3.22977362,1.4840483,2.145,2.66743617,2.6531,0.88527286,1.338,2.69282928,1.94378347,2.837,3.67494444,2.0257,2.17159688,3.01342296,1.3293
20191106,6.36755606,25.24568363,3.69485417,2.54515946,1.9453,2.96237083,2.29735118,2.13398775,1.77852976,1.526,1.68684193,4.717,1.425,2.3490935,1.948,3.20181022,1.47267232,2.132,2.66184875,2.6343,0.88527286,1.324,2.67946062,1.93904638,2.832,3.67331836,2.0069,2.15632876,2.98011865,1.3226
20191107,6.38549284,25.4767654,3.70514051,2.56583412,1.9501,2.96237083,2.30776214,2.15009401,1.77866416,1.535,1.68825328,4.719,1.429,2.35494187,1.957,3.20996621,1.47680904,2.135,2.67302359,2.644,0.88789459,1.331,2.69091947,1.95799472,2.823,3.67657052,2.0163,2.16455005,2.99245358,1.323
20191108,6.37951391,25.34072532,3.70308325,2.56583412,1.955,2.96581544,2.30544859,2.13287697,1.78054577,1.53,1.68331357,4.721,1.421,2.3490935,1.96,3.21229649,1.47577486,2.134,2.66073126,2.6332,0.88527286,1.334,2.67182139,1.95641569,2.822,3.64079672,2.019825,2.17159688,2.98381913,1.3188
20191111,6.27787217,24.84501765,3.64547973,2.53318992,1.9257,2.92448004,2.26611831,2.09696185,1.75259034,1.505,1.66538946,4.659,1.408,2.3101044,1.93,3.19947993,1.46026216,2.099,2.60932696,2.6051,0.86954244,1.309,2.625986,1.9232561,2.755,3.59689252,1.989275,2.14575852,2.94558085,1.3003
20191112,6.27189325,24.88601603,3.64136519,2.51795596,1.9248,2.91931311,2.25570735,2.09622133,1.74156945,1.503,1.66694194,4.654,1.417,2.3101044,1.94,3.20297536,1.45509126,2.095,2.59815211,2.5922,0.86779462,1.306,2.62980562,1.91693999,2.762,3.60990117,1.993975,2.14575852,2.95791578,1.2978
20191113,6.28983003,24.92701441,3.68456783,2.53971876,1.9518,2.95375928,2.2707454,2.08270688,1.7716753,1.508,1.66482492,4.705,1.443,2.31595277,1.97,3.24142504,1.46646724,2.117,2.61938432,2.6146,0.86604679,1.316,2.62789581,1.9343093,2.81,3.59038819,2.02335,2.17042241,2.96038277,1.3
20191114,6.31374573,24.97360347,3.71131232,2.55277644,1.9791,2.96926006,2.29735118,2.08085558,1.78753463,1.509,1.66496606,4.751,1.453,2.32180113,1.982,3.25657189,1.46233052,2.124,2.62608923,2.6302,0.86604679,1.33,2.63362523,1.94694152,2.865,3.57900562,2.038625,2.18921394,2.98505262,1.301
20191115,6.26591432,24.80588283,3.68045329,2.54298318,1.9749,2.95031467,2.29041054,2.05697387,1.76965928,1.499,1.66143769,4.719,1.434,2.30620549,1.967,3.23909476,1.4581938,2.115,2.61491439,2.61,0.86342506,1.319,2.60497811,1.92483513,2.839,3.55949264,2.02805,2.17981818,2.95051483,1.2912
20191118,6.2838511,25.04069173,3.69896871,2.55060016,1.9802,2.97098237,2.31701632,2.08881615,1.77745455,1.517,1.68049087,4.724,1.449,2.32375059,1.977,3.23676448,1.47784322,2.117,2.63279414,2.6169,0.87303809,1.326,2.62980562,1.94062541,2.839,3.60014468,2.02805,2.17864371,2.99122009,1.2978
20191119,6.35559821,25.40222289,3.76891584,2.60827158,2.0379,3.01576239,2.35518983,2.1217692,1.81817808,1.541,1.68839442,4.768,1.479,2.35104296,2.009,3.26472788,1.49542428,2.145,2.6652012,2.658,0.88352503,1.36,2.65654293,1.96746889,2.896,3.60827509,2.052725,2.22092466,3.02082392,1.3089
20191120,6.30178788,25.20654881,3.73599954,2.59412576,2.0414,2.996817,2.34015178,2.10695884,1.80581318,1.537,1.68034974,4.755,1.466,2.33349786,2.009,3.25424161,1.48611666,2.139,2.64843893,2.6385,0.87828156,1.354,2.625986,1.95009958,2.891,3.55786656,2.052725,2.21270336,2.99615406,1.2957
20191121,6.27787217,25.13573343,3.71542686,2.59194948,2.0313,2.97098237,2.33436791,2.10140495,1.79196987,1.529,1.67371641,4.716,1.453,2.32180113,1.985,3.24259019,1.47784322,2.125,2.61714935,2.6336,0.87565982,1.345,2.61452715,1.9453625,2.84,3.5367275,2.031575,2.19860971,2.97518468,1.2915
20191122,6.19416721,25.04441886,3.6537088,2.55604086,1.9762,2.89520079,2.30313504,2.09011206,1.73310218,1.507,1.66327244,4.588,1.403,2.2925593,1.922,3.17850738,1.46026216,2.08,2.57580242,2.5598,0.87653374,1.322,2.58206042,1.89641263,2.723,3.50745803,1.977525,2.16455005,2.91351004,1.2767
20191125,6.18818829,25.36308807,3.65165153,2.52230852,1.9481,2.86936616,2.28115636,2.12343537,1.7110604,1.5,1.6724462,4.564,1.382,2.29840767,1.904,3.15054397,1.45612544,2.072,2.57244996,2.5232,0.89313806,1.304,2.59542907,1.87272721,2.687,3.54973615,1.970475,2.13518828,2.88143923,1.2775
20191126,6.21210399,25.34631601,3.68045329,2.54515946,1.965,2.89175617,2.29619441,2.12917438,1.73001096,1.505,1.67047031,4.605,1.391,2.29645821,1.911,3.17734223,1.46439888,2.089,2.58809475,2.548,0.88964242,1.313,2.60879773,1.88535943,2.727,3.52697101,1.991625,2.1504564,2.88884018,1.283
20191127,6.22406184,25.26059213,3.69896871,2.55060016,1.9703,2.88831156,2.29850795,2.1154748,1.73753742,1.499,1.66948237,4.606,1.4,2.29450876,1.904,3.19365422,1.46233052,2.087,2.56351009,2.5533,0.88614677,1.315,2.59924869,1.89325457,2.696,3.52209277,1.989275,2.15985217,2.88020573,1.2762
20191128,6.22406184,25.09846217,3.68251056,2.5516883,1.9606,2.88831156,2.28115636,2.10325625,1.72907015,1.496,1.66468379,4.596,1.399,2.29060985,1.904,3.18782851,1.4581938,2.084,2.55345272,2.5542,0.88265112,1.309,2.58969965,1.89957068,2.697,3.50420587,1.9881,2.15515429,2.87403827,1.2724
20191129,6.18220936,24.83383627,3.64342246,2.5516883,1.9474,2.85386538,2.27305895,2.09399977,1.70890999,1.481,1.65339301,4.519,1.382,2.2711153,1.87,3.17734223,1.44474946,2.058,2.51881069,2.5446,0.87740765,1.303,2.57633099,1.89957068,2.635,3.48306681,1.942275,2.14693299,2.84196746,1.2628
20191202,6.17623043,25.03510104,3.64136519,2.55821714,1.9603,2.84869846,2.29503763,2.12102868,1.71159801,1.484,1.65480436,4.5,1.384,2.27696366,1.862,3.18316794,1.44992036,2.061,2.51881069,2.5497,0.88177721,1.306,2.58588003,1.89325457,2.609,3.50420587,1.93405,2.1586777,2.84813492,1.264
20191203,6.17623043,25.08169011,3.66399515,2.58215622,1.9618,2.86075462,2.31123245,2.12602718,1.71818366,1.492,1.65819159,4.513,1.392,2.28476148,1.864,3.19365422,1.45509126,2.066,2.5255156,2.5618,0.88439894,1.307,2.59542907,1.90430777,2.613,3.52534493,1.928175,2.17277135,2.85800286,1.2653
20191204,6.18818829,24.97919416,3.6866251,2.59194948,1.9685,2.8762554,2.31470277,2.11936252,1.73068296,1.5,1.6562157,4.533,1.4,2.28281203,1.876,3.19598451,1.4530229,2.08,2.53110303,2.5832,0.88265112,1.305,2.59160946,1.9058868,2.641,3.50908411,1.9458,2.18334159,2.84813492,1.264
20191205,6.27189325,25.28854557,3.75862949,2.63438694,1.9979,2.90897926,2.34593564,2.12473127,1.76280483,1.508,1.66284904,4.574,1.43,2.30425603,1.895,3.22860848,1.46646724,2.093,2.54451284,2.6298,0.88702068,1.329,2.61070754,1.9343093,2.673,3.53184926,1.95755,2.21387784,2.87897224,1.2744
20191206,6.3077668,25.52894515,3.77920218,2.6605023,2.0279,2.93998081,2.37138465,2.13509852,1.78740023,1.522,1.66821215,4.65,1.45,2.31790222,1.911,3.24608561,1.47680904,2.116,2.58362481,2.6575,0.88964242,1.34,2.62216638,1.95009958,2.689,3.54323183,1.984575,2.23501831,2.90857607,1.2816
20191209,6.29580895,25.69852936,3.75862949,2.65614974,2.0262,2.92792465,2.38757947,2.15731406,1.77409452,1.514,1.66863556,4.609,1.44,2.31595277,1.9,3.2402599,1.47474068,2.107,2.56015763,2.6273,0.8957598,1.343,2.62216638,1.96115278,2.642,3.55136224,1.972825,2.22562255,2.89377416,1.2808
20191210,6.30178788,25.77679899,3.78125945,2.68008882,2.0474,2.96581544,2.40724461,2.15398173,1.80178115,1.52,1.67230506,4.629,1.46,2.31790222,1.911,3.26938845,1.47991158,2.12,2.5769199,2.6453,0.8957598,1.357,2.61834677,1.97694306,2.675,3.54323183,1.977525,2.23736726,2.89377416,1.2828
20191211,6.28983003,25.84761437,3.7648013,2.66811928,2.0217,2.95892621,2.39452011,2.16323821,1.79452349,1.516,1.67738591,4.586,1.449,2.31790222,1.904,3.25424161,1.47784322,2.108,2.57356745,2.6166,0.89925545,1.351,2.625986,1.97220597,2.671,3.58713603,1.9646,2.22914596,2.87527176,1.2866
20191212,6.2838511,25.82525162,3.76068676,2.67247184,2.0127,2.95892621,2.39683366,2.15453712,1.80393156,1.511,1.67357527,4.564,1.45,2.31400331,1.898,3.23443419,1.47474068,2.104,2.55345272,2.6055,0.89663371,1.354,2.61643696,1.97220597,2.686,3.57575346,1.956375,2.23032043,2.87280478,1.2856
20191213,6.37353499,26.38804755,3.83474843,2.72143814,2.0335,2.996817,2.44426135,2.18749017,1.81387725,1.532,1.69587456,4.645,1.474,2.35299241,1.931,3.27521416,1.49232174,2.133,2.59815211,2.6461,0.90712066,1.379,2.66036254,1.99115431,2.739,3.66356187,1.993975,2.26438009,2.92214449,1.3081
20191216,6.48115565,26.44954512,3.8758938,2.79434352,2.0815,3.01576239,2.48821872,2.19211841,1.84411749,1.53,1.69643909,4.622,1.495,2.3666386,1.929,3.31482899,1.50680026,2.139,2.62720672,2.66842897,0.91323804,1.405,2.67564101,2.02905098,2.736,3.66518795,1.99045,2.29726528,2.92584497,1.312
20191217,6.53496599,26.76262365,3.92526824,2.82045888,2.0979,3.03470779,2.51713805,2.21637037,1.84882153,1.533,1.70843554,4.648,1.501,2.38808261,1.942,3.34628782,1.51921042,2.162,2.65290887,2.69992456,0.92372498,1.423,2.70428813,2.04642029,2.747,3.7139704,1.998675,2.31840575,2.93201243,1.3247
20191218,6.51702921,26.72907952,3.90058102,2.81610632,2.0971,3.01059547,2.52523546,2.20359644,1.84693992,1.525,1.70815327,4.636,1.483,2.3841837,1.933,3.33114098,1.51300534,2.161,2.63838157,2.67418749,0.91935542,1.422,2.6985587,2.03852515,2.701,3.70421391,1.989275,2.31370787,2.92337798,1.3197
